timestamp,alert_id,level,vessel_name,mmsi,country,alert_type,message,coordinates,evidence
2025-09-19T17:04:52.658863,AIS_YANTARNYY_273523400,CRITICAL,YANTARNYY,273523400,Russia,stale_transponder,🚨 PRIORITY VESSEL AIS transponder not updating position for 0.1 hours,"[70.57833333333333, 16.866666666666667]","{'hours_since_update': 0.12173128277777778, 'stale_percentage': 84.0, 'last_seen': '2025-09-19T16:57:34.426241'}"
2025-09-19T17:04:52.659970,AIS_KARACHAROVO_273537800,CRITICAL,KARACHAROVO,273537800,Russia,stale_transponder,🚨 PRIORITY VESSEL AIS transponder not updating position for 0.1 hours,"[75.766733, 14.253973]","{'hours_since_update': 0.1217311125, 'stale_percentage': 84.0, 'last_seen': '2025-09-19T16:57:34.427961'}"
2025-09-19T17:04:52.659310,AIS_FU_YUAN_YU_8633_412549626,HIGH,FU YUAN YU 8633,412549626,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[66.88833333333334, 4.3]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.394485681111111, 'stale_percentage': 96.0}"
2025-09-19T17:04:52.659356,AIS_FUYUANYU8620_412549628,HIGH,FUYUANYU8620,412549628,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[68.41000000000001, -3.26]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.394485679722222, 'stale_percentage': 96.0}"
2025-09-19T17:04:52.661001,AIS_HANYI36_412420561,HIGH,HANYI36,412420561,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[78.55666666666666, 32.10666666666667]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.3944853855555555, 'stale_percentage': 96.0}"
2025-09-19T17:04:52.661097,AIS_DONGYU1527_412421098,HIGH,DONGYU1527,412421098,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[76.98, -1.24]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.3944853738888887, 'stale_percentage': 96.0}"
2025-09-19T17:04:52.661143,AIS_XIN_SHI_JI_66_412421136,HIGH,XIN SHI JI 66,412421136,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[70.90333333333334, -0.9733333333333332]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.3944853730555558, 'stale_percentage': 92.0}"
2025-09-19T17:04:52.661957,AIS_RUN_HAI_XIANG_YANG_413559690,HIGH,RUN HAI XIANG YANG,413559690,China,static_position,🚨 PRIORITY VESSEL Vessel broadcasting identical coordinates across 25 position reports,"[81.74, 12.453333333333337]","{'total_positions': 25, 'unique_positions': 1, 'duration_hours': 3.3944852672222225, 'stale_percentage': 92.0}"
2025-09-19T17:04:52.657783,AIS_NAUTILUS_ALDRA_MOB_982570397,HIGH,NAUTILUS ALDRA MOB,982570397,Unknown,stale_transponder, AIS transponder not updating position for 0.1 hours,"[65.803338, 12.726417]","{'hours_since_update': 0.12173120638888889, 'stale_percentage': 84.0, 'last_seen': '2025-09-19T16:57:34.425430'}"
2025-09-19T17:04:52.658281,AIS_ANGELSEN_SR_109080485,HIGH,ANGELSEN SR,109080485,Unknown,stale_transponder, AIS transponder not updating position for 0.5 hours,"[68.799525, 13.116607]","{'hours_since_update': 0.45161143666666664, 'stale_percentage': 83.33333333333334, 'last_seen': '2025-09-19T16:37:46.857104'}"
2025-09-19T17:04:52.658457,AIS_ARMADA_78_03_563175900,HIGH,ARMADA 78 03,563175900,Singapore,stale_transponder, AIS transponder not updating position for 0.1 hours,"[66.89333333333333, 5.1866666666666665]","{'hours_since_update': 0.12173129861111111, 'stale_percentage': 88.0, 'last_seen': '2025-09-19T16:57:34.425778'}"
2025-09-19T17:04:52.658637,AIS_MERIKE_276842000,HIGH,MERIKE,276842000,Estonia,stale_transponder, AIS transponder not updating position for 0.1 hours,"[76.143373, 35.873165]","{'hours_since_update': 0.12173125416666666, 'stale_percentage': 84.0, 'last_seen': '2025-09-19T16:57:34.426119'}"
2025-09-19T17:04:52.660600,AIS_PENGLAI_249257000,HIGH,PENGLAI,249257000,Malta,stale_transponder, AIS transponder not updating position for 2.1 hours,"[65.014402, 7.565997]","{'hours_since_update': 2.1375261366666667, 'stale_percentage': 86.66666666666667, 'last_seen': '2025-09-19T14:56:37.566504'}"
2025-09-19T17:04:52.662209,AIS_MARK_218799000,HIGH,MARK,218799000,Germany,stale_transponder, AIS transponder not updating position for 0.1 hours,"[72.515185, 9.833418]","{'hours_since_update': 0.12173097611111111, 'stale_percentage': 92.0, 'last_seen': '2025-09-19T16:57:34.430691'}"
2025-09-19T17:04:52.662798,AIS_HAV_NES_231099000,HIGH,HAV NES,231099000,Faroe Islands,stale_transponder, AIS transponder not updating position for 2.1 hours,"[65.030918, 11.627878]","{'hours_since_update': 2.137525969722222, 'stale_percentage': 0.0, 'last_seen': '2025-09-19T14:56:37.569301'}"
