timestamp,vessel_mmsi,vessel_name,cable_name,distance_km,latitude,longitude,alert_threshold
2025-09-19 17:53:43.905894,257125940,NJORD,Norway-UK Cable (Arctic Section),4.1,69.236127,19.37166,8
2025-09-19 17:55:21.652264,257183400,FROEY,Norway-UK Cable (Arctic Section),3.92,69.23734,19.369525,8
2025-09-19 17:56:31.530382,257303700,ISFUGLEN,Svalbard Undersea Cable System,6.74,70.97943,25.975182,10
2025-09-19 17:56:31.530436,257002170,HAVNEVAKT 01,Svalbard Undersea Cable System,6.71,70.980595,25.975498,10
2025-09-19 17:56:31.530456,258134000,FALKUNGEN,Svalbard Undersea Cable System,6.41,70.982,25.968208,10
2025-09-19 17:56:31.530535,257078770,EINAR,Lofoten-Vesterålen Cable,0.84,68.981838,14.5104,5
2025-09-19 17:56:31.530649,257984600,PETTER G,Norway-UK Cable (Arctic Section),4.61,69.55,20.535,8
2025-09-19 17:56:31.530797,257458000,RO SAILOR,Svalbard Undersea Cable System,8.39,70.944053,25.95532,10
2025-09-19 17:56:31.531357,257390700,FJORDFUGLEN,Svalbard Undersea Cable System,6.74,70.9794,25.975058,10
2025-09-19 17:56:31.531596,259657000,PELAGIA HAV,Svalbard Undersea Cable System,8.43,70.967513,26.010168,10
2025-09-19 17:56:31.531608,257168000,VALDIMAR H,Svalbard Undersea Cable System,5.98,70.995823,25.964737,10
2025-09-19 17:56:31.531873,259963000,SOEROEYFISK,Svalbard Undersea Cable System,6.39,70.97813,25.96306,10
2025-09-19 17:56:31.531950,257776500,STRANDFLAESA,Svalbard Undersea Cable System,6.75,70.979825,25.975715,10
2025-09-19 17:56:31.533177,257570600,BOEFANGST,Svalbard Undersea Cable System,6.42,70.981617,25.968097,10
2025-09-19 17:56:31.533220,257043030,APHERUSA UNMANNED,Svalbard Undersea Cable System,4.05,78.928083,11.934873,10
2025-09-19 17:56:31.533278,257647500,BEKKVIK JR,Svalbard Undersea Cable System,8.44,70.986925,26.029637,10
2025-09-19 17:56:31.533635,258030600,KLAEVTIND,Lofoten-Vesterålen Cable,1.61,69.273843,15.946975,5
2025-09-19 17:56:31.534597,257063480,TROLLFJORD,Norway-UK Cable (Arctic Section),4.43,69.845,22.01833333333333,8
2025-09-19 17:57:40.071982,257303700,ISFUGLEN,Svalbard Undersea Cable System,6.74,70.97943,25.975182,10
2025-09-19 17:57:40.072015,257002170,HAVNEVAKT 01,Svalbard Undersea Cable System,6.71,70.980595,25.975498,10
2025-09-19 17:57:40.072023,258134000,FALKUNGEN,Svalbard Undersea Cable System,6.41,70.982,25.968208,10
2025-09-19 17:57:40.072074,257078770,EINAR,Lofoten-Vesterålen Cable,0.9,68.98138,14.511267,5
2025-09-19 17:57:40.072143,257984600,PETTER G,Norway-UK Cable (Arctic Section),4.61,69.55,20.535,8
2025-09-19 17:57:40.072232,257458000,RO SAILOR,Svalbard Undersea Cable System,8.62,70.944548,25.966013,10
2025-09-19 17:57:40.072578,257390700,FJORDFUGLEN,Svalbard Undersea Cable System,6.74,70.9794,25.975058,10
2025-09-19 17:57:40.072723,259657000,PELAGIA HAV,Svalbard Undersea Cable System,8.65,70.968928,26.018858,10
2025-09-19 17:57:40.072730,257168000,VALDIMAR H,Svalbard Undersea Cable System,5.98,70.995792,25.964693,10
2025-09-19 17:57:40.072886,259963000,SOEROEYFISK,Svalbard Undersea Cable System,6.39,70.978118,25.963008,10
2025-09-19 17:57:40.072933,257776500,STRANDFLAESA,Svalbard Undersea Cable System,6.75,70.979832,25.975735,10
2025-09-19 17:57:40.073694,257570600,BOEFANGST,Svalbard Undersea Cable System,6.42,70.981627,25.968082,10
2025-09-19 17:57:40.073720,257043030,APHERUSA UNMANNED,Svalbard Undersea Cable System,4.05,78.928083,11.934873,10
2025-09-19 17:57:40.073755,257647500,BEKKVIK JR,Svalbard Undersea Cable System,8.44,70.986918,26.029618,10
2025-09-19 17:57:40.073974,258030600,KLAEVTIND,Lofoten-Vesterålen Cable,1.61,69.273843,15.946975,5
2025-09-19 17:57:40.074061,257127280,BLATIND,Norway-UK Cable (Arctic Section),4.46,69.845505,22.01951,8
2025-09-19 17:57:40.074596,257063480,TROLLFJORD,Norway-UK Cable (Arctic Section),4.43,69.845,22.01833333333333,8
