timestamp,total_vessels,dark_vessels,cable_alerts
2025-09-19T13:57:15.639313,236,0,2
2025-09-19T13:58:27.219251,236,0,2
2025-09-19T13:59:49.056250,236,0,2
2025-09-19T14:10:48.088159,0,0,0
2025-09-19T14:12:08.346130,0,0,0
2025-09-19T14:13:23.642217,0,0,0
2025-09-19T14:13:46.697492,168,0,0
2025-09-19T14:17:27.570878,165,0,0
2025-09-19T14:24:15.829613,167,0,0
2025-09-19T14:24:52.834395,142,0,0
2025-09-19T14:26:37.948164,135,0,0
2025-09-19T14:27:49.654467,136,0,0
2025-09-19T14:29:49.613465,237,0,1
2025-09-19T14:31:13.499208,107,0,0
2025-09-19T14:32:26.051808,107,0,0
2025-09-19T14:32:57.692083,107,0,0
2025-09-19T14:55:36.400508,107,0,0
2025-09-19T14:56:37.610397,107,0,0
2025-09-19T13:33:54.311126,105,0,0
2025-09-19T14:17:53.487348,106,0,0
2025-09-19T14:21:28.722740,107,0,0
2025-09-19T14:43:35.939618,107,0,0
