timestamp,vessel_mmsi,vessel_name,cable_id,cable_name,distance_km,alert_threshold,cable_status,vessel_latitude,vessel_longitude
2025-09-19T12:42:20.727866,257974800,KVAENANGSTIND,norway_uk,Norway-UK Cable (Arctic Section),6.16,8,HIGH,69.855578,21.990712
2025-09-19T12:42:20.728814,257303700,ISFUGLEN,svalbard_cable,Svalbard Undersea Cable System,6.74,10,CRITICAL,70.979417,25.975103
2025-09-19T12:42:20.728861,257153000,SKREIGRUNN,svalbard_cable,Svalbard Undersea Cable System,5.63,10,CRITICAL,70.973047,25.931633
2025-09-19T12:42:20.728872,257002170,HAVNEVAKT 01,svalbard_cable,Svalbard Undersea Cable System,6.71,10,CRITICAL,70.980602,25.975517
2025-09-19T12:42:20.728975,257078770,EINAR,lofoten_vesteralen,Lofoten-Vesterålen Cable,0.39,5,HIGH,68.984248,14.466762
2025-09-19T12:42:20.729090,257984600,PETTER G,norway_uk,Norway-UK Cable (Arctic Section),4.61,8,HIGH,69.55,20.535
2025-09-19T12:42:20.729266,109010419,RONJA BOUY 9,svalbard_cable,Svalbard Undersea Cable System,7.51,10,CRITICAL,70.93246,25.80116
2025-09-19T12:42:20.729531,257009300,LOS122,svalbard_cable,Svalbard Undersea Cable System,6.63,10,CRITICAL,70.980213,25.972697
2025-09-19T12:42:20.730099,257168000,VALDIMAR H,svalbard_cable,Svalbard Undersea Cable System,5.98,10,CRITICAL,70.99579,25.96474
2025-09-19T12:42:20.730447,259963000,SOEROEYFISK,svalbard_cable,Svalbard Undersea Cable System,6.31,10,CRITICAL,70.982082,25.965435
2025-09-19T12:42:20.730526,257776500,STRANDFLAESA,svalbard_cable,Svalbard Undersea Cable System,6.75,10,CRITICAL,70.979845,25.975697
2025-09-19T12:42:20.730650,257929600,RONJA,svalbard_cable,Svalbard Undersea Cable System,8.45,10,CRITICAL,70.987582,26.030288
2025-09-19T12:42:20.730705,259590000,BOERNES,svalbard_cable,Svalbard Undersea Cable System,6.52,10,CRITICAL,70.981393,25.970622
2025-09-19T12:42:20.731252,257183400,FROEY,norway_uk,Norway-UK Cable (Arctic Section),3.94,8,HIGH,69.23718,19.369767
2025-09-19T12:42:20.731656,258470000,SEGLA,svalbard_cable,Svalbard Undersea Cable System,6.38,10,CRITICAL,70.982148,25.967502
2025-09-19T12:42:20.731728,258094000,HAVILA POLARIS,svalbard_cable,Svalbard Undersea Cable System,6.51,10,CRITICAL,70.980713,25.96964
2025-09-19T12:42:20.732184,257570600,BOEFANGST,svalbard_cable,Svalbard Undersea Cable System,6.42,10,CRITICAL,70.981607,25.968113
2025-09-19T12:42:20.732238,257043030,APHERUSA UNMANNED,svalbard_cable,Svalbard Undersea Cable System,4.05,10,CRITICAL,78.9281,11.934925
2025-09-19T12:42:20.732322,257647500,BEKKVIK JR,svalbard_cable,Svalbard Undersea Cable System,8.44,10,CRITICAL,70.986912,26.02968
2025-09-19T12:42:20.732897,258030600,KLAEVTIND,lofoten_vesteralen,Lofoten-Vesterålen Cable,1.62,5,HIGH,69.273832,15.947007
2025-09-19T12:42:20.732908,258030630,FOENIX,svalbard_cable,Svalbard Undersea Cable System,4.94,10,CRITICAL,70.991098,25.933645
2025-09-19T12:42:20.732981,257125940,NJORD,norway_uk,Norway-UK Cable (Arctic Section),4.09,8,HIGH,69.236135,19.371623
2025-09-19T12:42:20.733073,257127280,BLATIND,norway_uk,Norway-UK Cable (Arctic Section),4.45,8,HIGH,69.84549,22.019625
2025-09-19T12:42:20.733299,257129970,MOENDALSTIND,norway_uk,Norway-UK Cable (Arctic Section),4.44,8,HIGH,69.845235,22.019108
2025-09-19T12:42:20.734045,257440600,OLIVIA,svalbard_cable,Svalbard Undersea Cable System,8.44,10,CRITICAL,70.987742,26.030135
2025-09-19T12:42:20.734191,259102000,BIRGERSON,svalbard_cable,Svalbard Undersea Cable System,5.04,10,CRITICAL,70.988023,25.934165
