timestamp,mmsi,vessel_name,country,anomaly_type,severity,detected_at,details_json
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-27T18:36:34Z,"{""gap_duration_minutes"": 43.3, ""gap_start"": ""2025-10-27T17:53:15Z"", ""gap_end"": ""2025-10-27T18:36:34Z"", ""last_position"": {""lat"": 70.9524, ""lon"": 19.5954}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-28T01:07:15Z,"{""gap_duration_minutes"": 58.6, ""gap_start"": ""2025-10-28T00:08:38Z"", ""gap_end"": ""2025-10-28T01:07:15Z"", ""last_position"": {""lat"": 70.6767, ""lon"": 18.8194}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,medium,2025-10-28T02:33:46Z,"{""gap_duration_minutes"": 86.5, ""gap_start"": ""2025-10-28T01:07:15Z"", ""gap_end"": ""2025-10-28T02:33:46Z"", ""last_position"": {""lat"": 70.6309, ""lon"": 18.9291}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,medium,2025-10-28T03:34:45Z,"{""gap_duration_minutes"": 61.0, ""gap_start"": ""2025-10-28T02:33:46Z"", ""gap_end"": ""2025-10-28T03:34:45Z"", ""last_position"": {""lat"": 70.5733, ""lon"": 19.1818}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-28T12:46:55Z,"{""gap_duration_minutes"": 40.2, ""gap_start"": ""2025-10-28T12:06:45Z"", ""gap_end"": ""2025-10-28T12:46:55Z"", ""last_position"": {""lat"": 70.5985, ""lon"": 19.1348}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-28T13:24:05Z,"{""gap_duration_minutes"": 37.2, ""gap_start"": ""2025-10-28T12:46:55Z"", ""gap_end"": ""2025-10-28T13:24:05Z"", ""last_position"": {""lat"": 70.587, ""lon"": 19.2623}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-28T16:48:36Z,"{""gap_duration_minutes"": 46.0, ""gap_start"": ""2025-10-28T16:02:35Z"", ""gap_end"": ""2025-10-28T16:48:36Z"", ""last_position"": {""lat"": 70.6441, ""lon"": 19.8544}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-29T01:08:34Z,"{""gap_duration_minutes"": 52.8, ""gap_start"": ""2025-10-29T00:15:46Z"", ""gap_end"": ""2025-10-29T01:08:34Z"", ""last_position"": {""lat"": 70.8696, ""lon"": 20.3681}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,medium,2025-10-29T02:55:24Z,"{""gap_duration_minutes"": 106.8, ""gap_start"": ""2025-10-29T01:08:34Z"", ""gap_end"": ""2025-10-29T02:55:24Z"", ""last_position"": {""lat"": 70.8207, ""lon"": 20.424}, ""near_border"": false}"
2025-11-03T14:46:12.521201Z,273437550,VITYAZ,Russia,transmission_gap,low,2025-10-29T03:45:56Z,"{""gap_duration_minutes"": 50.5, ""gap_start"": ""2025-10-29T02:55:24Z"", ""gap_end"": ""2025-10-29T03:45:56Z"", ""last_position"": {""lat"": 70.7342, ""lon"": 20.3614}, ""near_border"": false}"
