mmsi,name,latitude,longitude,speed,course,timestamp,vessel_type,collection_time
265064540,KINFISH TENDER 3,81.836007,15.898378,3.3,13.5,2025-09-19 13:38:30.586774,90,2025-09-19 13:38:30.586794
235572000,ANVIL POINT,66.742953,8.125807,16.5,204.8,2025-09-19 13:38:30.586814,70,2025-09-19 13:38:30.586816
630001042,NOR STAR,68.575095,14.947752,0.0,205.5,2025-09-19 13:38:30.586824,80,2025-09-19 13:38:30.586825
319301000,KEY WIND,67.06635,10.703777,12.3,204.0,2025-09-19 13:38:30.586831,89,2025-09-19 13:38:30.586833
277589000,VILKAS,68.234027,14.536107,0.1,216.7,2025-09-19 13:38:30.586846,30,2025-09-19 13:38:30.586847
586706041,LEINEBRIS 34,75.375993,19.74737,3.4,243.6,2025-09-19 13:38:30.586853,0,2025-09-19 13:38:30.586854
586706108,586706108,68.216867,14.94592,0.3,214.5,2025-09-19 13:38:30.586857,0,2025-09-19 13:38:30.586858
586706109,AH BOY3,68.19243,14.827548,6.0,258.6,2025-09-19 13:38:30.586860,0,2025-09-19 13:38:30.586861
586706114,AH BOY1,68.230162,14.647283,0.4,302.3,2025-09-19 13:38:30.586863,0,2025-09-19 13:38:30.586864
586706177,ALI BOY 1,70.79402,29.842948,0.9,37.8,2025-09-19 13:38:30.586867,0,2025-09-19 13:38:30.586868
941005775,O BUOY 04,75.327268,35.14061,1.4,202.5,2025-09-19 13:38:30.586873,0,2025-09-19 13:38:30.586874
941005785,O BUOY 03,75.498778,35.799938,8.6,155.6,2025-09-19 13:38:30.586877,0,2025-09-19 13:38:30.586878
586706383,LOFOTFANGST,70.849275,29.301263,1.8,311.4,2025-09-19 13:38:30.586882,0,2025-09-19 13:38:30.586883
941005814,O BUOY 44,75.478143,35.44358,0.6,239.4,2025-09-19 13:38:30.586886,0,2025-09-19 13:38:30.586887
941005815,O BUOY 40,75.48335,35.725512,0.8,324.9,2025-09-19 13:38:30.586890,0,2025-09-19 13:38:30.586891
941005819,O BUOY 37,75.49486,35.802053,1.8,88.4,2025-09-19 13:38:30.586894,0,2025-09-19 13:38:30.586895
941005846,O BUOY 41,75.332367,35.063147,0.1,179.6,2025-09-19 13:38:30.586898,0,2025-09-19 13:38:30.586898
586706481,AUSTHAVET BUOY,71.666518,31.68681,2.9,254.8,2025-09-19 13:38:30.586902,0,2025-09-19 13:38:30.586903
229767000,ARCTIC AURORA,71.648673,25.97905,11.0,121.4,2025-09-19 13:38:30.586905,84,2025-09-19 13:38:30.586906
586706533,TRYGVE B BUOY 7,75.017675,33.578268,1.8,196.0,2025-09-19 13:38:30.586909,0,2025-09-19 13:38:30.586910
