Table 1
id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
29646;ENAE;small_airport;Æra Airfield;61.257401;11.6689;1621;EU;NO;NO-34;Åmot;no;;;ENAE;;;https://no.wikipedia.org/wiki/%C3%98stre_%C3%86ra_flyplass;
319096;ENAH;heliport;Ål Medical Center Heliport;60.62995;8.566951;1442;EU;NO;NO-33;Ål;no;;;ENAH;;;https://en.wikipedia.org/wiki/%C3%85l_Heliport,_Medical_Center;
2564;ENAL;medium_airport;Ålesund Airport, Vigra;62.5625;6.1197;69;EU;NO;NO-15;Ålesund;yes;ENAL;AES;ENAL;;http://www.avinor.no/lufthavn/alesund;https://en.wikipedia.org/wiki/%C3%85lesund_Airport%2C_Vigra;Vigra
2565;ENAN;medium_airport;Andøya Airport, Andenes;69.292503;16.144199;43;EU;NO;NO-18;Andenes;yes;ENAN;ANX;ENAN;;https://avinor.no/en/airport/andoya-airport/;https://en.wikipedia.org/wiki/And%C3%B8ya_Airport%2C_Andenes;
319092;ENAR;heliport;Arendal Heliport, Hospital;58.467493;8.754001;;EU;NO;NO-42;Arendal;no;;;ENAR;;;https://en.wikipedia.org/wiki/Arendal_Heliport,_Hospital;
31004;ENAS;small_airport;Ny-Ålesund Airport, Hamnerabben;78.927498;11.8743;50;EU;NO;NO-21;Ny-Ålesund;no;;;ENAS;;;https://en.wikipedia.org/wiki/Ny-%C3%85lesund_Airport,_Hamnerabben;Brøggerhalvøya Airport
2566;ENAT;medium_airport;Alta Airport;69.976097;23.3717;9;EU;NO;NO-56;Alta;yes;ENAT;ALF;ENAT;;https://avinor.no/en/airport/alta-airport/;https://en.wikipedia.org/wiki/Alta_Airport;
319091;ENAX;heliport;Ålesund Heliport, Hospital;62.462942;6.312435;;EU;NO;NO-15;Ålesund;no;;;ENAX;;;https://en.wikipedia.org/wiki/%C3%85lesund_Heliport,_Hospital;
319093;ENBA;heliport;Barentsburg Heliport, Heerodden;78.101098;14.205777;92;EU;NO;NO-21;Barentsburg;no;;;ENBA;;;https://en.wikipedia.org/wiki/Barentsburg_Heliport,_Heerodden;
29253;ENBE;heliport;Balder A FPU;59.190601;2.35806;;EU;NO;NO-XX;;no;;;ENBE;;;;
298358;ENBG;heliport;Grønneviksøren (Haukeland Sykehus) Heliport;60.37988;5.346029;10;EU;NO;NO-46;Bergen;no;;;ENBG;;;https://en.wikipedia.org/wiki/Bergen_Heliport,_Gr%C3%B8nneviks%C3%B8ren;
318215;ENBJ;heliport;Bjørnøya Heliport;74.5038889;19;;EU;NO;NO-21;Herwighamna;no;;;ENBJ;;;;Bjørnøya
29254;ENBL;small_airport;Førde Airport, Bringeland;61.391102;5.75694;1046;EU;NO;NO-46;Førde;yes;ENBL;FDE;ENBL;;https://avinor.no/en/airport/forde-airport/;https://en.wikipedia.org/wiki/F%C3%B8rde_Airport%2C_Bringeland;bringeland
2567;ENBM;small_airport;Bømoen Airfield;60.638098;6.499786;300;EU;NO;NO-46;Tjukkebygdi;no;;;ENBM;;;https://en.wikipedia.org/wiki/Voss_Airport,_B%C3%B8moen;
2568;ENBN;medium_airport;Brønnøysund Airport, Brønnøy;65.461098;12.2175;25;EU;NO;NO-18;Brønnøy;yes;ENBN;BNN;ENBN;;https://avinor.no/en/airport/bronnoysund-airport/;https://en.wikipedia.org/wiki/Br%C3%B8nn%C3%B8ysund_Airport%2C_Br%C3%B8nn%C3%B8y;Bronnoy
2569;ENBO;medium_airport;Bodø Airport;67.269203;14.3653;42;EU;NO;NO-18;Bodø;yes;ENBO;BOO;ENBO;;http://www.avinor.no/en/airport/bodo/frontpage;https://en.wikipedia.org/wiki/Bod%C3%B8_Airport;Bodø Air Force Base, Bodø Main Air Station
2570;ENBR;large_airport;Bergen Airport, Flesland;60.2934;5.21814;170;EU;NO;NO-46;Bergen;yes;ENBR;BGO;ENBR;;http://www.avinor.no/en/airport/bergen;https://en.wikipedia.org/wiki/Bergen_Airport%2C_Flesland;
2571;ENBS;medium_airport;Båtsfjord Airport;70.60025;29.692612;490;EU;NO;NO-56;Båtsfjord;yes;ENBS;BJF;ENBS;;https://avinor.no/en/airport/batsfjord-airport/;https://en.wikipedia.org/wiki/B%C3%A5tsfjord_Airport;
29255;ENBV;medium_airport;Berlevåg Airport;70.871517;29.034097;42;EU;NO;NO-56;Berlevåg;yes;ENBV;BVG;ENBV;;https://avinor.no/en/airport/berlevag-airport/;https://en.wikipedia.org/wiki/Berlev%C3%A5g_Airport;
